header	kind	name	signature
m-kconfig/include/kconfig/data/directory_override.hpp	function	std::filesystem::path	"DataDirectoryOverrideResult ApplyDataDirectoryOverride( const std::optional<std::filesystem::path>& cli_user_config_path, const std::optional<std::filesystem::path>& cli_data_dir, const std::filesystem::path& defaultConfigRelative = std::filesystem::path(""config.json""), bool enableUserConfig = true, bool allowDataDirFromUserConfigWhenUserConfigDisabled = false);"
m-kconfig/include/kconfig/data/path_resolver.hpp	function	SetDataRootOverride	void SetDataRootOverride(const std::filesystem::path &path);
m-kconfig/include/kconfig/data/path_resolver.hpp	function	SetUserConfigRootOverride	void SetUserConfigRootOverride(const std::filesystem::path &path);
m-kconfig/include/kconfig/data/path_resolver.hpp	function	LoadJsonFile	std::optional<kconfig::common::serialization::Value> LoadJsonFile(const std::filesystem::path &path, const std::string &label, spdlog::level::level_enum missingLevel);
m-kconfig/include/kconfig/data/path_resolver.hpp	function	UserConfigDirectory	std::filesystem::path UserConfigDirectory();
m-kconfig/include/kconfig/data/path_resolver.hpp	function	LoadConfigLayers	std::vector<ConfigLayer> LoadConfigLayers(const std::vector<ConfigLayerSpec> &specs);
m-kconfig/include/kconfig/data/path_resolver.hpp	function	MergeJsonObjects	void MergeJsonObjects(kconfig::common::serialization::Value &destination, const kconfig::common::serialization::Value &source);
m-kconfig/include/kconfig/data/path_resolver.hpp	function	CollectAssetEntries	"void CollectAssetEntries(const kconfig::common::serialization::Value &node, const std::filesystem::path &baseDir, std::map<std::string, std::filesystem::path> &assetMap, const std::string &prefix = """");"
m-kconfig/include/kconfig/data/path_resolver.hpp	function	SetDataPathSpec	void SetDataPathSpec(DataPathSpec spec);
m-kconfig/include/kconfig/data/path_resolver.hpp	function	ResolveConfiguredAsset	std::filesystem::path ResolveConfiguredAsset(const std::string &assetKey, const std::filesystem::path &defaultRelativePath = {});
m-kconfig/include/kconfig/data/path_resolver.hpp	function	DataRoot	const std::filesystem::path &DataRoot();
m-kconfig/include/kconfig/data/root_policy.hpp	function	ResolveRootPathPolicy	std::optional<std::filesystem::path> ResolveRootPathPolicy(const RootPathPolicy& policy);
m-kconfig/include/kconfig/data/root_policy.hpp	function	ConfigureDataRootPolicy	void ConfigureDataRootPolicy(const DataPathSpec& spec, const std::optional<std::filesystem::path>& cli_root = std::nullopt);
m-kconfig/include/kconfig/helpers.hpp	function	ReadRequiredUInt16Config	uint16_t ReadRequiredUInt16Config(const char *path);
m-kconfig/include/kconfig/helpers.hpp	function	ReadRequiredPositiveUInt16Config	uint16_t ReadRequiredPositiveUInt16Config(const char *path);
m-kconfig/include/kconfig/helpers.hpp	function	ReadRequiredUInt32Config	uint32_t ReadRequiredUInt32Config(const char *path);
m-kconfig/include/kconfig/helpers.hpp	function	ReadRequiredFloatConfig	float ReadRequiredFloatConfig(const char *path);
m-kconfig/include/kconfig/helpers.hpp	function	ReadRequiredPositiveFiniteFloatConfig	float ReadRequiredPositiveFiniteFloatConfig(const char *path);
m-kconfig/include/kconfig/helpers.hpp	function	ReadRequiredStringConfig	std::string ReadRequiredStringConfig(const char *path);
m-kconfig/include/kconfig/helpers.hpp	function	ReadRequiredNonEmptyStringConfig	std::string ReadRequiredNonEmptyStringConfig(const char *path);
m-kconfig/include/kconfig/helpers.hpp	function	ReadRequiredFloatArrayConfig	std::vector<float> ReadRequiredFloatArrayConfig(std::string_view path);
m-kconfig/include/kconfig/helpers.hpp	function	ReadRequiredObjectConfig	const kconfig::common::serialization::Value& ReadRequiredObjectConfig(std::string_view path);
m-kconfig/include/kconfig/i18n.hpp	function	loadFromConfig	void loadFromConfig(RuntimeRole role);
m-kconfig/include/kconfig/i18n.hpp	function	get	const std::string &get(const std::string &key) const;
