new_header	new_symbol	legacy_symbol	file	line	matched_pattern	text
m-kconfig/include/kconfig/data/directory_override.hpp	ApplyDataDirectoryOverride	ApplyDataDirectoryOverride	m-karma/src/app/shared/bootstrap_spec.cpp	20	\b(?:karma::)?common::data::ApplyDataDirectoryOverride\s*\(	common::data::ApplyDataDirectoryOverride(
m-kconfig/include/kconfig/data/directory_override.hpp	ApplyDataDirectoryOverride	ApplyDataDirectoryOverride	m-karma/src/karma/common/data/directory_override.hpp	13	\bApplyDataDirectoryOverride\s*\(	DataDirectoryOverrideResult ApplyDataDirectoryOverride(
m-kconfig/include/kconfig/data/path_resolver.hpp	CollectAssetEntries	CollectAssetEntries	m-karma/src/common/content/catalog.cpp	25	\b(?:karma::)?common::data::CollectAssetEntries\s*\(	karma::common::data::CollectAssetEntries(assets_json, base_dir, collected);
m-kconfig/include/kconfig/data/path_resolver.hpp	CollectAssetEntries	CollectAssetEntries	m-karma/src/common/tests/data_path_contract_test.cpp	180	\b(?:karma::)?common::data::CollectAssetEntries\s*\(	"karma::common::data::CollectAssetEntries(node, base_dir, entries, ""assets"");"
m-kconfig/include/kconfig/data/path_resolver.hpp	DataRoot	DataRoot	m-bz3/src/ui/frontends/imgui/console/panels/panel_start_server.cpp	152	\b(?:karma::)?common::data::DataRoot\s*\(	const auto dataRoot = karma::common::data::DataRoot();
m-kconfig/include/kconfig/data/path_resolver.hpp	DataRoot	DataRoot	m-bz3/src/ui/frontends/imgui/console/panels/panel_start_server.cpp	246	\b(?:karma::)?common::data::DataRoot\s*\(	server->dataDir = karma::common::data::DataRoot().string();
m-kconfig/include/kconfig/data/path_resolver.hpp	DataRoot	DataRoot	m-bz3/src/ui/frontends/rmlui/console/panels/panel_start_server.cpp	316	\b(?:karma::)?common::data::DataRoot\s*\(	input->SetValue(karma::common::data::DataRoot().string());
m-kconfig/include/kconfig/data/path_resolver.hpp	DataRoot	DataRoot	m-bz3/src/ui/frontends/rmlui/console/panels/panel_start_server.cpp	996	\b(?:karma::)?common::data::DataRoot\s*\(	server->dataDir = karma::common::data::DataRoot().string();
m-kconfig/include/kconfig/data/path_resolver.hpp	DataRoot	DataRoot	m-karma/src/physics/tests/parity/engine_sync_checks.cpp	224	\bDataRoot\s*\(	const std::filesystem::path existing_root = DataRoot();
m-kconfig/include/kconfig/data/path_resolver.hpp	DataRoot	DataRoot	m-karma/src/scene/scene_bootstrap.cpp	323	\b(?:karma::)?common::data::DataRoot\s*\(	common::data::DataRoot().string(),
m-kconfig/include/kconfig/data/path_resolver.hpp	LoadConfigLayers	LoadConfigLayers	m-karma/src/common/content/catalog.cpp	79	\b(?:karma::)?common::data::LoadConfigLayers\s*\(	std::vector<karma::common::data::ConfigLayer> layers = karma::common::data::LoadConfigLayers(base_specs);
m-kconfig/include/kconfig/data/path_resolver.hpp	LoadJsonFile	LoadJsonFile	m-karma/src/cli/server/runtime_options.cpp	80	\b(?:karma::)?common::data::LoadJsonFile\s*\(	"common::data::LoadJsonFile(*overlay_path, ""server config overlay"", spdlog::level::err);"
m-kconfig/include/kconfig/data/path_resolver.hpp	MergeJsonObjects	MergeJsonObjects	m-karma/src/common/content/catalog.cpp	90	\b(?:karma::)?common::data::MergeJsonObjects\s*\(	karma::common::data::MergeJsonObjects(merged_config, layer.json);
m-kconfig/include/kconfig/data/path_resolver.hpp	MergeJsonObjects	MergeJsonObjects	m-karma/src/common/tests/data_path_contract_test.cpp	120	\b(?:karma::)?common::data::MergeJsonObjects\s*\(	karma::common::data::MergeJsonObjects(destination, source);
m-kconfig/include/kconfig/data/path_resolver.hpp	MergeJsonObjects	MergeJsonObjects	m-karma/src/common/tests/data_path_contract_test.cpp	130	\b(?:karma::)?common::data::MergeJsonObjects\s*\(	karma::common::data::MergeJsonObjects(object_destination, scalar_source);
m-kconfig/include/kconfig/data/path_resolver.hpp	MergeJsonObjects	MergeJsonObjects	m-karma/src/common/tests/data_path_contract_test.cpp	137	\b(?:karma::)?common::data::MergeJsonObjects\s*\(	karma::common::data::MergeJsonObjects(scalar_destination, object_source);
m-kconfig/include/kconfig/data/path_resolver.hpp	Resolve	Resolve	m-bz3/src/ui/fonts/console_fonts.cpp	25	\b(?:karma::)?common::data::Resolve\s*\(	extraPath = karma::common::data::Resolve(extra);
m-kconfig/include/kconfig/data/path_resolver.hpp	Resolve	Resolve	m-bz3/src/ui/fonts/console_fonts.cpp	27	\b(?:karma::)?common::data::Resolve\s*\(	"extraPath = karma::common::data::Resolve(std::filesystem::path(""client"") / extra);"
m-kconfig/include/kconfig/data/path_resolver.hpp	Resolve	Resolve	m-bz3/src/ui/frontends/imgui/console/panels/panel_start_server.cpp	580	\b(?:karma::)?common::data::Resolve\s*\(	"addDirectoryEntries(karma::common::data::Resolve(""server/worlds""));"
m-kconfig/include/kconfig/data/path_resolver.hpp	Resolve	Resolve	m-bz3/src/ui/frontends/rmlui/backend.cpp	259	\b(?:karma::)?common::data::Resolve\s*\(	"state->consolePath = karma::common::data::Resolve(""client/ui/console.rml"").string();"
m-kconfig/include/kconfig/data/path_resolver.hpp	Resolve	Resolve	m-bz3/src/ui/frontends/rmlui/backend.cpp	260	\b(?:karma::)?common::data::Resolve\s*\(	"state->hudPath = karma::common::data::Resolve(""client/ui/hud.rml"").string();"
m-kconfig/include/kconfig/data/path_resolver.hpp	Resolve	Resolve	m-bz3/src/ui/frontends/rmlui/console/emoji_utils.cpp	187	\b(?:karma::)?common::data::Resolve\s*\(	"const std::filesystem::path imagePath = karma::common::data::Resolve(""client/ui/emoji/twemoji/"" + fileName + "".png"");"
m-kconfig/include/kconfig/data/path_resolver.hpp	Resolve	Resolve	m-bz3/src/ui/frontends/rmlui/console/panels/panel.cpp	34	\b(?:karma::)?common::data::Resolve\s*\(	const auto resolvedPath = karma::common::data::Resolve(panelRmlPath);
m-kconfig/include/kconfig/data/path_resolver.hpp	Resolve	Resolve	m-bz3/src/ui/frontends/rmlui/console/panels/panel_start_server.cpp	666	\b(?:karma::)?common::data::Resolve\s*\(	"addDirectoryEntries(karma::common::data::Resolve(""server/worlds""));"
m-kconfig/include/kconfig/data/path_resolver.hpp	Resolve	Resolve	m-karma/src/audio/backends/miniaudio/clip_cache.cpp	55	\b(?:karma::)?common::data::Resolve\s*\(	const auto resolved = karma::common::data::Resolve(requested);
m-kconfig/include/kconfig/data/path_resolver.hpp	Resolve	Resolve	m-karma/src/audio/backends/sdl3audio/clip_cache.cpp	56	\b(?:karma::)?common::data::Resolve\s*\(	const auto resolved = karma::common::data::Resolve(requested);
m-kconfig/include/kconfig/data/path_resolver.hpp	Resolve	Resolve	m-karma/src/renderer/backends/bgfx/contracts.cpp	468	\b(?:karma::)?common::data::Resolve\s*\(	"report.source_path = karma::common::data::Resolve(""bgfx/shaders/mesh/fs_mesh.sc"").string();"
m-kconfig/include/kconfig/data/path_resolver.hpp	Resolve	Resolve	m-karma/src/renderer/backends/bgfx/contracts.cpp	469	\b(?:karma::)?common::data::Resolve\s*\(	"report.binary_path = karma::common::data::Resolve(""bgfx/shaders/bin/vk/mesh/fs_mesh.bin"").string();"
m-kconfig/include/kconfig/data/path_resolver.hpp	Resolve	Resolve	m-karma/src/renderer/backends/bgfx/pipeline.cpp	32	\b(?:karma::)?common::data::Resolve\s*\(	"const auto vs_path = karma::common::data::Resolve(""bgfx/shaders/bin/vk/mesh/vs_mesh.bin"").string();"
m-kconfig/include/kconfig/data/path_resolver.hpp	Resolve	Resolve	m-karma/src/renderer/backends/bgfx/pipeline.cpp	33	\b(?:karma::)?common::data::Resolve\s*\(	"const auto fs_path = karma::common::data::Resolve(""bgfx/shaders/bin/vk/mesh/fs_mesh.bin"").string();"
m-kconfig/include/kconfig/data/path_resolver.hpp	Resolve	Resolve	m-karma/src/renderer/backends/bgfx/pipeline.cpp	43	\b(?:karma::)?common::data::Resolve\s*\(	"karma::common::data::Resolve(""bgfx/shaders/bin/vk/shadow/vs_shadow_depth.bin"").string();"
m-kconfig/include/kconfig/data/path_resolver.hpp	Resolve	Resolve	m-karma/src/renderer/backends/bgfx/pipeline.cpp	45	\b(?:karma::)?common::data::Resolve\s*\(	"karma::common::data::Resolve(""bgfx/shaders/bin/vk/shadow/fs_shadow_depth.bin"").string();"
m-kconfig/include/kconfig/data/path_resolver.hpp	ResolveConfiguredAsset	ResolveConfiguredAsset	m-bz3/src/ui/frontends/imgui/backend.cpp	58	\b(?:karma::)?common::data::ResolveConfiguredAsset\s*\(	const auto bigFontPath = karma::common::data::ResolveConfiguredAsset(assets.selection.regularFontKey);
m-kconfig/include/kconfig/data/path_resolver.hpp	ResolveConfiguredAsset	ResolveConfiguredAsset	m-bz3/src/ui/frontends/imgui/backend.cpp	276	\b(?:karma::)?common::data::ResolveConfiguredAsset\s*\(	const auto bigFontPath = karma::common::data::ResolveConfiguredAsset(assets.selection.regularFontKey);
m-kconfig/include/kconfig/data/path_resolver.hpp	ResolveConfiguredAsset	ResolveConfiguredAsset	m-bz3/src/ui/frontends/imgui/console/console.cpp	94	\b(?:karma::)?common::data::ResolveConfiguredAsset\s*\(	const auto fontPath = karma::common::data::ResolveConfiguredAsset(assetKey);
m-kconfig/include/kconfig/data/path_resolver.hpp	ResolveConfiguredAsset	ResolveConfiguredAsset	m-bz3/src/ui/frontends/imgui/console/console.cpp	131	\b(?:karma::)?common::data::ResolveConfiguredAsset\s*\(	const auto regularFontPath = karma::common::data::ResolveConfiguredAsset(regularFontKey);
