new_header	new_type	legacy_type	file	line	matched_pattern	text
m-kconfig/include/kconfig/data/path_resolver.hpp	ConfigLayer	karma::common::data::ConfigLayer	m-karma/src/common/content/catalog.cpp	79	\b(?:karma::)?common::data::ConfigLayer\b	std::vector<karma::common::data::ConfigLayer> layers = karma::common::data::LoadConfigLayers(base_specs);
m-kconfig/include/kconfig/data/path_resolver.hpp	ConfigLayerSpec	karma::common::data::ConfigLayerSpec	m-karma/src/common/content/catalog.cpp	70	\b(?:karma::)?common::data::ConfigLayerSpec\b	WorldContent LoadWorldContent(const std::vector<karma::common::data::ConfigLayerSpec>& base_specs,
m-kconfig/include/kconfig/data/path_resolver.hpp	ConfigLayerSpec	karma::common::data::ConfigLayerSpec	m-karma/src/karma/common/content/catalog.hpp	36	\b(?:karma::)?common::data::ConfigLayerSpec\b	WorldContent LoadWorldContent(const std::vector<karma::common::data::ConfigLayerSpec>& base_specs,
m-kconfig/include/kconfig/data/path_resolver.hpp	DataPathSpec	karma::common::data::DataPathSpec	m-bz3/src/tests/client_world_package_safety_integration_test.cpp	503	\b(?:karma::)?common::data::DataPathSpec\b	karma::common::data::SetDataPathSpec(karma::common::data::DataPathSpec{
m-kconfig/include/kconfig/data/path_resolver.hpp	DataPathSpec	karma::common::data::DataPathSpec	m-bz3/src/tests/client_world_package_safety_integration_test.cpp	693	\b(?:karma::)?common::data::DataPathSpec\b	karma::common::data::SetDataPathSpec(karma::common::data::DataPathSpec{
m-kconfig/include/kconfig/data/path_resolver.hpp	DataPathSpec	karma::common::data::DataPathSpec	m-bz3/src/tests/client_world_package_safety_integration_test.cpp	794	\b(?:karma::)?common::data::DataPathSpec\b	karma::common::data::SetDataPathSpec(karma::common::data::DataPathSpec{
m-kconfig/include/kconfig/data/path_resolver.hpp	DataPathSpec	karma::common::data::DataPathSpec	m-bz3/src/tests/client_world_package_safety_integration_test.cpp	915	\b(?:karma::)?common::data::DataPathSpec\b	karma::common::data::SetDataPathSpec(karma::common::data::DataPathSpec{
m-kconfig/include/kconfig/data/path_resolver.hpp	DataPathSpec	karma::common::data::DataPathSpec	m-bz3/src/tests/client_world_package_safety_integration_test.cpp	1107	\b(?:karma::)?common::data::DataPathSpec\b	karma::common::data::SetDataPathSpec(karma::common::data::DataPathSpec{
m-kconfig/include/kconfig/data/path_resolver.hpp	DataPathSpec	karma::common::data::DataPathSpec	m-bz3/src/tests/client_world_package_safety_integration_test.cpp	1360	\b(?:karma::)?common::data::DataPathSpec\b	karma::common::data::SetDataPathSpec(karma::common::data::DataPathSpec{
m-kconfig/include/kconfig/data/path_resolver.hpp	DataPathSpec	karma::common::data::DataPathSpec	m-bz3/src/tests/client_world_package_safety_integration_test.cpp	1607	\b(?:karma::)?common::data::DataPathSpec\b	karma::common::data::SetDataPathSpec(karma::common::data::DataPathSpec{
m-kconfig/include/kconfig/data/path_resolver.hpp	DataPathSpec	karma::common::data::DataPathSpec	m-karma/src/app/shared/bootstrap_spec.cpp	13	\b(?:karma::)?common::data::DataPathSpec\b	common::data::DataPathSpec data_spec{};
m-kconfig/include/kconfig/data/path_resolver.hpp	DataPathSpec	karma::common::data::DataPathSpec	m-karma/src/renderer/tests/renderer_shadow_sandbox.cpp	721	\b(?:karma::)?common::data::DataPathSpec\b	karma::common::data::DataPathSpec data_spec{};
m-kconfig/include/kconfig/data/root_policy.hpp	RootPathPolicy	karma::common::data::RootPathPolicy	m-karma/src/tests/support/test_asset_path.cpp	18	\b(?:karma::)?common::data::RootPathPolicy\b	karma::common::data::RootPathPolicy root_policy{};
m-kconfig/include/kconfig/i18n.hpp	I18n	karma::common::i18n::I18n	m-bz3/src/ui/frontends/rmlui/translate.cpp	69	\b(?:karma::)?common::i18n::I18n\b	void applyElementTranslation(Rml::Element *element, const karma::common::i18n::I18n &i18n) {
m-kconfig/include/kconfig/i18n.hpp	I18n	karma::common::i18n::I18n	m-bz3/src/ui/frontends/rmlui/translate.cpp	105	\b(?:karma::)?common::i18n::I18n\b	void ApplyTranslations(Rml::Element *root, const karma::common::i18n::I18n &i18n) {
m-kconfig/include/kconfig/i18n.hpp	I18n	karma::common::i18n::I18n	m-bz3/src/ui/frontends/rmlui/translate.hpp	9	\b(?:karma::)?common::i18n::I18n\b	void ApplyTranslations(Rml::Element *root, const karma::common::i18n::I18n &i18n);
