header	function	legacy_symbol	legacy_namespace	refs	status
m-kconfig/include/kconfig/helpers.hpp	ReadRequiredBoolConfig	ReadRequiredBoolConfig	karma::common::config	29	mapped
m-kconfig/include/kconfig/helpers.hpp	ReadRequiredUInt16Config	ReadRequiredUInt16Config	karma::common::config	39	mapped
m-kconfig/include/kconfig/helpers.hpp	ReadRequiredPositiveUInt16Config	ReadRequiredPositiveUInt16Config	karma::common::config	11	mapped
m-kconfig/include/kconfig/helpers.hpp	ReadRequiredUInt32Config	ReadRequiredUInt32Config	karma::common::config	2	mapped
m-kconfig/include/kconfig/helpers.hpp	ReadRequiredFloatConfig	ReadRequiredFloatConfig	karma::common::config	73	mapped
m-kconfig/include/kconfig/helpers.hpp	ReadRequiredPositiveFiniteFloatConfig	ReadRequiredPositiveFiniteFloatConfig	karma::common::config	13	mapped
m-kconfig/include/kconfig/helpers.hpp	ReadRequiredStringConfig	ReadRequiredStringConfig	karma::common::config	23	mapped
m-kconfig/include/kconfig/helpers.hpp	ReadRequiredNonEmptyStringConfig	ReadRequiredNonEmptyStringConfig	karma::common::config	17	mapped
m-kconfig/include/kconfig/helpers.hpp	ReadRequiredFloatArrayConfig	ReadRequiredFloatArrayConfig	karma::common::config	3	mapped
m-kconfig/include/kconfig/helpers.hpp	ReadRequiredObjectConfig	ReadRequiredObjectConfig	karma::common::config	1	mapped
m-kconfig/include/kconfig/store.hpp	ConfigStore::Add	ConfigStore::Add	karma::common::config	4	mapped
m-kconfig/include/kconfig/store.hpp	ConfigStore::Merge	ConfigStore::Merge	karma::common::config	1	mapped
m-kconfig/include/kconfig/store.hpp	ConfigStore::Remove	ConfigStore::Remove	karma::common::config	1	mapped
m-kconfig/include/kconfig/store.hpp	ConfigStore::Get(name,path)	ConfigStore::Get	karma::common::config	17	mapped
m-kconfig/include/kconfig/store.hpp	ConfigStore::Set(name,path)	ConfigStore::Set	karma::common::config	54	mapped
m-kconfig/include/kconfig/store.hpp	ConfigStore::Erase(name,path)	ConfigStore::Erase	karma::common::config	8	mapped
m-kconfig/include/kconfig/store.hpp	ConfigStore::SetAssetRoot	ConfigStore::SetAssetRoot	karma::common::config	1	mapped
m-kconfig/include/kconfig/store.hpp	ConfigStore::SetBackingFile	ConfigStore::SetBackingFile	karma::common::config	1	mapped
m-kconfig/include/kconfig/store.hpp	ConfigStore::RemoveBackingFile	ConfigStore::RemoveBackingFile	karma::common::config	1	mapped
m-kconfig/include/kconfig/store.hpp	ConfigStore::Path	ConfigStore::Path	karma::common::config	2	mapped
m-kconfig/include/kconfig/store.hpp	ConfigStore::Save	ConfigStore::Save	karma::common::config	2	mapped
m-kconfig/include/kconfig/store.hpp	ConfigStore::Initialize	ConfigStore::Initialize	karma::common::config	19	mapped
m-kconfig/include/kconfig/store.hpp	ConfigStore::Initialized	ConfigStore::Initialized	karma::common::config	9	mapped
m-kconfig/include/kconfig/store.hpp	ConfigStore::Get(path)	ConfigStore::Get	karma::common::config	17	mapped
m-kconfig/include/kconfig/store.hpp	ConfigStore::GetCopy	ConfigStore::GetCopy	karma::common::config	3	mapped
m-kconfig/include/kconfig/store.hpp	ConfigStore::Set(path)	ConfigStore::Set	karma::common::config	54	mapped
m-kconfig/include/kconfig/store.hpp	ConfigStore::Erase(path)	ConfigStore::Erase	karma::common::config	8	mapped
m-kconfig/include/kconfig/store.hpp	ConfigStore::AddRuntimeLayer	ConfigStore::AddRuntimeLayer	karma::common::config	3	mapped
m-kconfig/include/kconfig/store.hpp	ConfigStore::LayerByLabel	ConfigStore::LayerByLabel	karma::common::config	1	mapped
m-kconfig/include/kconfig/store.hpp	ConfigStore::ResolveAssetPath	ConfigStore::ResolveAssetPath	karma::common::config	13	mapped
m-kconfig/include/kconfig/validation.hpp	ValidateRequiredKeys	ValidateRequiredKeys	karma::common::config	2	mapped
m-kconfig/include/kconfig/validation.hpp	ClientRequiredKeys	ServerRequiredKeys	karma::common::config	1	mapped
m-kconfig/include/kconfig/i18n.hpp	I18n::loadFromConfig	I18n::loadFromConfig	karma::common::i18n	2	mapped
m-kconfig/include/kconfig/i18n.hpp	I18n::get	I18n::get	karma::common::i18n	31	mapped
